Стаття (Джерело),Комерційна сторінка (Куди веде),Анкор (Ключове слово),Контекст (Де вставити),Повний абзац
https://barbashyn.law/statti/diya-siti-odyn-z-krashhyh-podatkovyh-rezhymiv-dlya-it-kompanij/,https://barbashyn.law/praktiki/it-startups/,дія сіті,"...розпочав функціонувати спеціальний правовий режим Дія Сіті, який спрямований на розвиток ІТ-галузі. Подача з...","8 лютого 2022 року в Україні розпочав функціонувати спеціальний правовий режим Дія Сіті, який спрямований на розвиток ІТ-галузі. Подача заявки здійснюється онлайн, її розгляд займає до 10 робочих днів та не потрібно отримувати спеціальних дозволів чи ліцензій. Держава буде гарантувати стабільність умов протягом 25 років для резидентів режиму."
https://barbashyn.law/statti/diya-siti-odyn-z-krashhyh-podatkovyh-rezhymiv-dlya-it-kompanij/,https://barbashyn.law/praktiki/blockchain-crypto/,криптовалют,"...а хмарних сервісів, діяльність пов’язана з обігом криптовалюти, кіберспорт та інші....","До дозволених галузей відносяться розробка і видання програмного забезпечення та комп’ютерних ігор, розробка штучного інтелекту, послуги онлайн та хмарних сервісів, діяльність пов’язана з обігом криптовалюти, кіберспорт та інші."
https://barbashyn.law/statti/shtuchnyj-intelekt-pravove-regulyuvannya-v-ukrayini-ta-yes/,https://barbashyn.law/praktiki/ai-i-pravo/,штучний інтелект,"...З часом, штучний інтелект (далі – ШІ) перестав бути просто темою науково-фа...","З часом, штучний інтелект (далі – ШІ) перестав бути просто темою науково-фантастичних романів, перетворившись у потужну реальність, що впливає на всі сфери нашого життя. Здатність машин до аналізу даних, навчання та прийняття рішень відкриває нові горизонти можливостей, але й ставить перед нами нові юридичні виклики щодо визначення його діяльності."
https://barbashyn.law/statti/shtuchnyj-intelekt-pravove-regulyuvannya-v-ukrayini-ta-yes/,https://barbashyn.law/zahyst-personalnyh-danyh-ta-data-privacy-dlya-biznesu/,gdpr,"...агальний регламент про захист персональних даних (GDPR), що набрав чинності у травні 2018 року, відіграє...","Захист права на приватність та законне використання персональних даних в процесі навчання та роботи ШІ став нагальною проблемою, яку доводиться вирішувати регулятивним органам в різних країнах. В цьому контексті Загальний регламент про захист персональних даних (GDPR), що набрав чинності у травні 2018 року, відіграє ключову роль у забезпеченні прав та приватності користувачів у віртуальному середовищі. GDPR встановлює правила для збирання, обробки та зберігання персональних даних в Європейському Союзі, а також передбачає високі стандарти щодо захисту приватності. Вже існує декілька прикладів, застосування норм GDPR європейськими регуляторами до розробників систем ШІ."
https://barbashyn.law/statti/0-podatku-z-inozemnyh-dohodiv-v-portugaliyi-tse-mif-chy-realnist/,https://barbashyn.law/praktiki/biznes-pravo/controlled-foreign-company-cfc/,кік,"... компаній (офіс, штат, банківський рахунок тощо), КІК та потенційні ризики бути визнаним податковим рез...","Важливо також зробити оцінку ризиків та звірити, як то постійну базу (можливість надання послуг саме в іншій країні чи звʼязок з нею) у країні отриманні доходу, сабстенс іноземних компаній (офіс, штат, банківський рахунок тощо), КІК та потенційні ризики бути визнаним податковим резидентом інших країн."
https://barbashyn.law/statti/varianty-vedennya-it-biznesu-v-ukrayini-z-pilgovymy-5-podatkiv/,https://barbashyn.law/praktiki/it-startups/,дія сіті,...🔹 Спеціальний режим Дія Сіті для ІТ-компаній на 25 років....,🔹 Спеціальний режим Дія Сіті для ІТ-компаній на 25 років.
https://barbashyn.law/statti/osoblyvosti-diya-city-prostoyu-movoyu/,https://barbashyn.law/praktiki/it-startups/,дія сіті,"...Дія Сіті – це спеціальний правовий режим для ІТ-компаній, ...","Дія Сіті – це спеціальний правовий режим для ІТ-компаній, метою якого є надання стимулу для розвитку галузі інформаційних технологій. Особливість режиму полягає у тому, що компанії-учасники Дія Сіті отримують можливість платити податки за зниженими відсотками: 9% податку на прибуток компанії, на відміну від 18% за загальним режимом, та 5% податку на доходи фізичних осіб проти 18% на загальному режимі. Використання знижених ставок можливе за декількох умов, а саме розмір заробітної плати не повинен бути нижчим за 1200 євро, наявність не менше 9 фахівців, компанія проводить діяльність у дозволеній сфері ІТ та одержує більше 90% доходу з цієї галузі. Нещодавно створена компанія, якій не більше ніж 24 місяці може не дотримуватися вимог щодо кількості працівників та рівня зарплати. Також, під час воєнного стану недотримання вимог не перешкоджає набуттю членства в Дія Сіті."
https://barbashyn.law/statti/yaki-buvayut-vydy-dogovoriv-v-it-biznesi/,https://barbashyn.law/praktiki/blockchain-crypto/,блокчейн,"...говору SAFE, але він використовується в контексті блокчейн-індустрії для залучення інвестицій у проекти, які...","По суті, цей договір є аналогом договору SAFE, але він використовується в контексті блокчейн-індустрії для залучення інвестицій у проекти, які видають токени замість акцій. Основна ідея залишається аналогічною: вкладення коштів інвестором у компанію за певними умовами для отримання токенів у майбутньому."
https://barbashyn.law/statti/yaki-buvayut-vydy-dogovoriv-v-it-biznesi/,https://barbashyn.law/zahyst-personalnyh-danyh-ta-data-privacy-dlya-biznesu/,privacy policy,"...Privacy notice, також відомі як Privacy policy. Мають містити в собі повідомлення про конфіденці...","Privacy notice, також відомі як Privacy policy. Мають містити в собі повідомлення про конфіденційність та розповідати користувачам про захист даних, як ви збираєте, використовуєте та обробляє особисті дані користувачів сайту та при наданні послуг."
https://barbashyn.law/statti/shho-vidomo-pro-avtorski-prava-na-tvory-shi-u-kino/,https://barbashyn.law/praktiki/ai-i-pravo/,штучний інтелект,"...ко розвивається завдяки технологічному прориву, і штучний інтелект у цьому займає на останнє значення. Штучний інтел...","Наш світ стрімко розвивається завдяки технологічному прориву, і штучний інтелект у цьому займає на останнє значення. Штучний інтелект полегшує наше повсякденне життя і підвищує продуктивність у багатьох галузях, але й створює нові виклики та питання. Серед таких викликів – як правомірно використовувати штучний інтелект в інформаційних технологіях, захист даних, питання власності та авторських прав."
https://barbashyn.law/statti/kik-koly-podatky-ne-splachuyut-ta-v-yakyh-vypadkah-diyut-stavky-5-9-18/,https://barbashyn.law/praktiki/biznes-pravo/controlled-foreign-company-cfc/,кік,...Норми КІК (або контрольовані іноземні компанії) набули чинн...,Норми КІК (або контрольовані іноземні компанії) набули чинності у 2022 році та спрямовані на звітування перед податковою про створення чи набуття часток в іноземних компаніях. Обовʼязок покладається на податкових резидентів України та стосується прав власності в іноземних компаніях.
https://barbashyn.law/statti/yak-zareyestruvaty-torgovelnu-marku-v-yes/,https://barbashyn.law/praktiki/intelektualna-vlasnist/tm-registration-in-the-eu/,тм в єс,...ати заявку на реєстрацію та отримати захист своєї ТМ в ЄС....,"Реєстрація ТМ можлива для всіх фізичних та юридичних осіб, незалежно від їхнього громадянства або місця реєстрації. Це означає, що особи та компанії з інших країн мають можливість подати заявку на реєстрацію та отримати захист своєї ТМ в ЄС."
https://barbashyn.law/statti/nyuansy-ta-rekomendatsiyi-reyestratsiyi-tm-v-yes/,https://barbashyn.law/praktiki/intelektualna-vlasnist/tm-registration-in-the-eu/,тм в єс,...і підприємства отримують 75% знижки на реєстрацію ТМ в ЄС. Це дозволяє зекономити 637 євро при поданні одні...,"Європейські, українські малі та середні підприємства отримують 75% знижки на реєстрацію ТМ в ЄС. Це дозволяє зекономити 637 євро при поданні однієї заявки. Пільги були запроваджені завдяки ініціативі EUIPO під назвою “SME Fund 2023 Ideas Powered for Business“. Ця програма має на меті сприяти малим і середнім підприємствам у захисті їхніх прав інтелектуальної власності."
https://barbashyn.law/statti/shho-mozhe-zminytysya-u-pravylah-kik/,https://barbashyn.law/praktiki/biznes-pravo/controlled-foreign-company-cfc/,кік,"..., яким пропонуються зміни до правил оподаткування КІК....","Верховною Радою України розглядається законопроект № 8137 від 19.10.2022 р., яким пропонуються зміни до правил оподаткування КІК."
https://barbashyn.law/statti/podatky-ta-zvity-kontrolovanyh-inozemnyh-kompanij-roadmap-dlya-it/,https://barbashyn.law/praktiki/biznes-pravo/controlled-foreign-company-cfc/,кік,"...аконодавство про контрольовані іноземні компанії (КІК) набуло чинності ще 1 січня 2022 року, але було п...","Законодавство про контрольовані іноземні компанії (КІК) набуло чинності ще 1 січня 2022 року, але було призупинено 7 березня, після початку повномасштабного вторгнення в Україну. Уже з весни 2024 року КІК будуть змушені звітувати перед державою."
https://barbashyn.law/statti/podatky-ta-zvity-kontrolovanyh-inozemnyh-kompanij-roadmap-dlya-it/,https://barbashyn.law/praktiki/biznes-pravo/tax-residency/,податкове резидентство,"...Перевіряємо відсоток вашої частки в КІК, податкове резидентство та які повноваження маєте як бенефіціар....","Перевіряємо відсоток вашої частки в КІК, податкове резидентство та які повноваження маєте як бенефіціар."
https://barbashyn.law/statti/kik-nagaduvannya-podaty-zvity-u-2024-rotsi/,https://barbashyn.law/praktiki/biznes-pravo/controlled-foreign-company-cfc/,кік,"...Залишилося декілька місяців, щоб подати звіти по КІК. Ми вирішили нагадати, що потрібно зробити та під...","Залишилося декілька місяців, щоб подати звіти по КІК. Ми вирішили нагадати, що потрібно зробити та підготували календар основних дат по правилах КІК для фізичних осіб."
https://barbashyn.law/statti/porushennia-prav-intelektualnoi-vlasnosti-v-interneti/,https://barbashyn.law/praktiki/intelektualna-vlasnist/tm-registration-in-ukraine/,зареєструвати торговельну марку,...Перший крок - зареєструвати торговельну марку. Після цього: підключитися до Amazon Brand Regist...,"Перший крок - зареєструвати торговельну марку. Після цього: підключитися до Amazon Brand Registry або аналогічних програм захисту маркетплейсів, подати скаргу через форму платформи з доданням підтвердження прав і посилань на порушення. Більшість маркетплейсів видаляють оголошення з підробками протягом кількох днів. Для системного захисту розгляньте підключення спеціалізованих Brand Protection платформ."
https://barbashyn.law/statti/blog-gdpr-ta-zahyst-personalnyh-danyh-compliance-dlya-it-biznesu/,https://barbashyn.law/zahyst-personalnyh-danyh-ta-data-privacy-dlya-biznesu/,gdpr,...єстрована в Україні й не має офісу в ЄС. Чи точно GDPR нас стосується?...,Наша компанія зареєстрована в Україні й не має офісу в ЄС. Чи точно GDPR нас стосується?
https://barbashyn.law/statti/rozvytok-regulyuvannya-shi-v-ukrayini-na-2026-rik/,https://barbashyn.law/praktiki/ai-i-pravo/,регулювання ші,...У 2025 році правове регулювання ШІ в Україні перейшло від декларативних намірів до к...,"У 2025 році правове регулювання ШІ в Україні перейшло від декларативних намірів до конкретних інструментів і документів. Нормативно-правова база штучного інтелекту в Україні активно формується — і це вже відчуває бізнес. Україна закріпилася як один із найдинамічніших майданчиків для інтеграції технологій штучного інтелекту у бізнес-процеси. Рівень готовності державного сектору до застосування таких рішень увійшов до топ-10 лідерів у Східній Європі за оцінкою Oxford Insights Government AI Readiness Index 2025 — британського аналітичного агентства, що щорічно вимірює готовність держав до впровадження ШІ. Сучасні тенденції вказують на подальше розповсюдження цього інструменту оптимізації."
https://barbashyn.law/statti/rozvytok-regulyuvannya-shi-v-ukrayini-na-2026-rik/,https://barbashyn.law/zahyst-personalnyh-danyh-ta-data-privacy-dlya-biznesu/,захист персональних даних,"... тому застосовуються положення низки законів: про захист персональних даних, права автора та споживача, електронну комунікаці...","На сьогодні в національному законодавстві відсутній єдиний закон про штучний інтелект в Україні, тому застосовуються положення низки законів: про захист персональних даних, права автора та споживача, електронну комунікацію і комерцію. Разом вони встановлюють правила безпечності, якості та інформаційної прозорості на продукти й послуги на території України."
https://barbashyn.law/statti/how-to-file-irs-tax-return-portugal-2026-deadlines-rates-foreign-income/,https://barbashyn.law/praktiki/biznes-pravo/tax-residency/,статус податкового резидента,"...Нагадуємо, що статус податкового резидента визначається за такими критеріями, як перебування...","Нагадуємо, що статус податкового резидента визначається за такими критеріями, як перебування в країні 183+ днів, наявність житла, статус NHR, тимчасовий захист тощо."
https://barbashyn.law/statti/yevroparlament-uhvalyv-pershyj-shi-akt-yaki-vymogy-dlya-biznesu/,https://barbashyn.law/praktiki/ai-i-pravo/,штучний інтелект,"...У світі, де штучний інтелект швидко стає не лише частиною нашого щоденного жит...","У світі, де штучний інтелект швидко стає не лише частиною нашого щоденного життя, але і ключовим елементом розвитку бізнесу та технологій, регулювання його використання стає критичним завданням для правників і законодавців. Так, у травні цього року Рада ЄС схвалила перший у світі законодавчий акт про штучний інтелект — Регламент про штучний інтелект, або як його ще називають АІ-акт."
https://barbashyn.law/statti/yevroparlament-uhvalyv-pershyj-shi-akt-yaki-vymogy-dlya-biznesu/,https://barbashyn.law/zahyst-personalnyh-danyh-ta-data-privacy-dlya-biznesu/,gdpr,...моги регламенту. Зокрема тому акт іноді називають GDPR 2.0....,"Ухвалення ШІ-акта в Європейському Союзі має далекосяжні наслідки, які не обмежуються територіальними межами ЄС. Одна з ключових особливостей — його екстериторіальна дія. Так, він буде застосовуватись до всіх осіб чи компаній, які вводять в експлуатацію або розміщують на ринку ЄС ШІ-продукти незалежно від того, де ці компанії перебувають. Наприклад, якщо АІ чат-бот розроблений компанією зі США, але частина його користувачів перебувають у ЄС, то компанія має виконувати вимоги регламенту. Зокрема тому акт іноді називають GDPR 2.0."
https://barbashyn.law/statti/mify-ta-realnist-pro-protses-vidkryttya-biznesu-zakordonom-2/,https://barbashyn.law/zahyst-personalnyh-danyh-ta-data-privacy-dlya-biznesu/,gdpr,"...бути місцеві юристи, адвокати, бухгалтери, AML та GDPR офіцери та інші особи, які відповідають за різні ...","Іншим прикладом можуть бути місцеві юристи, адвокати, бухгалтери, AML та GDPR офіцери та інші особи, які відповідають за різні напрямки вашої діяльності та можуть бути обовʼязковими, залежно від виду вашої діяльності."
https://barbashyn.law/statti/kik-pidsumky-za-2022-2023-roky-ta-pidgotovka-do-zvituvannya-za-2024-rik/,https://barbashyn.law/praktiki/biznes-pravo/controlled-foreign-company-cfc/,кік,...До 1 травня тривало звітування по КІК за попередні два роки (2022-2023). Податкова служ...,"До 1 травня тривало звітування по КІК за попередні два роки (2022-2023). Податкова служба Україна підбила підсумки цього звітного періоду. Так, 11 391 контролюючих осіб подали 30 057 звітів по 14 116 контрольованих іноземних компаніях."
